,year_built,Price,km_driven,fuel,seller_type,transmission,previous_owners,Brand,Model
994,2010,350000,80000,Petrol,Individual,Automatic,Two,Toyota,Toyota Corolla Altis
995,2018,690000,39000,Petrol,Dealer,Manual,Zero,Honda,Honda Amaze VX
996,2016,245000,60000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto 800
997,2018,790000,49000,Diesel,Dealer,Manual,Zero,Honda,Honda Amaze VX
998,2018,680000,48600,Petrol,Dealer,Manual,Zero,Honda,Honda Amaze VX
999,2017,540000,20000,Petrol,Individual,Manual,One,Hyundai,Hyundai Grand i10
1000,2016,425000,25000,Petrol,Individual,Manual,Zero,Mahindra,Mahindra KUV 100
1001,2008,140000,120000,Petrol,Individual,Manual,Zero,Maruti,Maruti Zen Estilo
1002,2019,1100000,30000,Diesel,Individual,Manual,Zero,Maruti,Maruti Ertiga ZDI
1003,2015,715000,35000,Diesel,Individual,Manual,Zero,Renault,Renault Lodgy 85PS
1004,2013,1580000,86000,Diesel,Dealer,Automatic,Zero,Audi,Audi A4 3.0
1005,2015,1750000,127643,Diesel,Dealer,Automatic,Zero,Audi,Audi Q3 2.0
1006,2018,400000,54000,Petrol,Dealer,Manual,One,Tata,Tata Zest Revotron
1007,2014,1750000,102354,Diesel,Dealer,Automatic,Zero,Audi,Audi A6 2.0
1008,2014,1850000,62237,Petrol,Dealer,Automatic,Zero,Audi,Audi Q5 2.0
1009,2005,114999,90000,Petrol,Dealer,Manual,One,Hyundai,Hyundai Santro Xing
1010,2018,950000,21394,Diesel,Dealer,Manual,Zero,Ford,Ford EcoSport 1.5
1011,2015,310000,32686,Petrol,Dealer,Manual,Zero,Datsun,Datsun GO T
1012,2006,575000,1001,Diesel,Dealer,Manual,Zero,Mahindra,Mahindra Jeep CJ
1013,2017,490000,22000,Diesel,Dealer,Manual,Zero,Renault,Renault Pulse RxZ
1014,2017,480000,53261,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai Grand i10
1015,2016,3500000,53000,Diesel,Dealer,Automatic,Zero,Land,Land Rover Discovery
1016,2018,370000,10000,Petrol,Dealer,Manual,Zero,Renault,Renault KWID 1.0
1017,2017,835000,14000,Diesel,Dealer,Manual,Zero,Maruti,Maruti Baleno Alpha
1018,2017,650000,44000,Petrol,Dealer,Manual,Zero,Volkswagen,Volkswagen Polo 2015-2019
1019,2014,670000,39895,Diesel,Dealer,Manual,Zero,Toyota,Toyota Etios VD
1020,2017,950000,73000,Diesel,Dealer,Automatic,Zero,Chevrolet,Chevrolet Cruze LTZ
1021,2014,690000,17000,Petrol,Dealer,Manual,Zero,Honda,Honda City i-VTEC
1022,2017,670000,18591,Petrol,Dealer,Manual,Zero,Volkswagen,Volkswagen Polo 2015-2019
1023,2017,925000,26766,Diesel,Dealer,Manual,Zero,Tata,Tata Nexon 1.5
1024,2015,250000,30000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai EON Magna
1025,2016,509999,42000,Diesel,Individual,Manual,Zero,Tata,Tata Sumo Gold
1026,2014,520000,110000,Diesel,Individual,Manual,Zero,Honda,Honda City i
1027,2005,100000,100000,Diesel,Individual,Manual,Zero,Tata,Tata Indica DLE
1028,2006,85000,300000,Diesel,Individual,Manual,One,Tata,Tata Indica DLS
1029,2009,130000,110000,Diesel,Individual,Manual,Two,Tata,Tata Indigo LX
1030,2018,950000,27620,Diesel,Dealer,Manual,Zero,Ford,Ford EcoSport 1.5
1031,2015,450000,70000,Petrol,Individual,Manual,Zero,Ford,Ford Figo Aspire
1032,2012,320000,50000,Petrol,Individual,Manual,One,Honda,Honda City S
1033,2015,480000,50000,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift Dzire
1034,2014,2490000,46000,Diesel,Individual,Automatic,Zero,Mercedes-Benz,Mercedes-Benz New C-Class
1035,2012,790000,82000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova 2.5
1036,2016,120000,120000,Petrol,Individual,Manual,Zero,Maruti,Maruti Omni MPI
1037,2006,75000,80000,Petrol,Individual,Manual,Two,Maruti,Maruti Alto LXi
1038,2010,99000,70000,Petrol,Individual,Manual,Zero,Tata,Tata Indica GLS
1039,2018,1015000,20000,Diesel,Individual,Manual,Zero,Maruti,Maruti S-Cross Zeta
1040,2013,250000,200000,Diesel,Individual,Manual,One,Mahindra,Mahindra Xylo D4
1041,2011,520000,120000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova Crysta
1042,2018,1100000,30000,Diesel,Individual,Automatic,Zero,Hyundai,Hyundai Verna CRDi
1043,2005,200000,223000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova 2.5
1044,2016,525000,60000,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift Dzire
1045,2016,500000,40000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i20 Asta
1046,2016,675000,161327,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Scorpio S2
1047,2009,150000,60000,Petrol,Individual,Manual,Two,Hyundai,Hyundai i10 Magna
1048,2007,250000,50000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero DI
1049,2018,450000,6000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
1050,2009,150000,68000,Petrol,Individual,Manual,One,Hyundai,Hyundai Santro Xing
1051,2012,200000,85000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Beat Diesel
1052,2011,525000,70000,Diesel,Individual,Automatic,Zero,Mahindra,Mahindra Scorpio VLS
1053,1999,60000,35000,Petrol,Individual,Manual,One,Maruti,Maruti Esteem VX
1054,2010,180000,100000,Diesel,Individual,Manual,One,Maruti,Maruti Swift Vdi
1055,2015,475000,110000,Diesel,Individual,Manual,Zero,Honda,Honda Amaze S
1056,2010,380000,195000,Diesel,Individual,Automatic,One,Mahindra,Mahindra Scorpio VLS
1057,2015,285000,46000,Petrol,Individual,Manual,One,Maruti,Maruti Alto 800
1058,2008,91200,60000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LXi
1059,2017,250000,46000,Petrol,Individual,Manual,Zero,Datsun,Datsun RediGO T
1060,2015,400000,42000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
1061,2006,160000,90000,Petrol,Individual,Automatic,One,Hyundai,Hyundai Santro Xing
1062,2012,650000,85000,Diesel,Individual,Manual,One,Skoda,Skoda Yeti Ambition
1063,2012,409999,120000,Diesel,Individual,Manual,Two,Hyundai,Hyundai Verna 1.6
1064,2013,425000,72000,Diesel,Individual,Manual,Zero,Ford,Ford Ecosport 1.5
1065,2013,250000,71000,CNG,Individual,Manual,One,Maruti,Maruti Wagon R
1066,2013,250000,71000,CNG,Individual,Manual,One,Maruti,Maruti Wagon R
1067,2017,260000,30000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Eeco 5
1068,2007,155000,65000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai Verna SX
1069,2015,450000,38000,Diesel,Individual,Manual,Zero,Honda,Honda Jazz 1.5
1070,2012,220000,90000,Petrol,Individual,Manual,One,Maruti,Maruti SX4 Celebration
1071,2018,650000,37000,Diesel,Dealer,Manual,Zero,Hyundai,Hyundai i20 Active
1072,2018,285000,30000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Alto 800
1073,2018,725000,26000,Petrol,Dealer,Automatic,Zero,Honda,Honda Amaze V
1074,2016,625000,30000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Ciaz ZXi
1075,2016,550000,23000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai i20 Active
1076,2012,240000,40000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai i10 Magna
1077,2014,600000,27000,Diesel,Dealer,Manual,Zero,Nissan,Nissan Terrano XL
1078,2012,350000,65000,Diesel,Dealer,Manual,Zero,Tata,Tata New Safari
1079,2015,245000,32000,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai EON Magna
1080,2016,600000,56000,Diesel,Dealer,Manual,Zero,Mahindra,Mahindra Bolero B6
1081,2017,2400000,30000,Diesel,Individual,Automatic,Zero,BMW,BMW X1 sDrive
1082,2014,620000,80000,Diesel,Dealer,Manual,Zero,Mahindra,Mahindra Scorpio SLE
1083,2014,395000,52000,Petrol,Dealer,Manual,One,Maruti,Maruti Swift Dzire
1084,2014,635000,13250,Petrol,Dealer,Manual,Zero,Maruti,Maruti Ertiga ZXI
1085,2011,180000,36000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Alto LX
1086,2015,484999,73000,Diesel,Dealer,Manual,One,Maruti,Maruti Swift ZDI
1087,2004,110000,60000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LX
1088,2006,150000,60000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
1089,2012,400000,110000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Tavera Neo
1090,2012,200000,70000,Diesel,Individual,Manual,One,Tata,Tata Indica Vista
1091,2013,302000,60000,Diesel,Individual,Manual,One,Renault,Renault Duster 85PS
1092,2004,155000,80000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
1093,2014,1000000,101000,Diesel,Individual,Manual,One,Toyota,Toyota Innova 2.5
1094,2018,550000,44000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
1095,2006,200000,45000,Petrol,Individual,Manual,Zero,Maruti,Maruti Swift 1.3
1096,2017,750000,120000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Scorpio S2
1097,2005,90000,90000,Petrol,Individual,Manual,One,Maruti,Maruti Zen LXI
1098,2007,80000,120000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
1099,2013,229999,13500,Petrol,Individual,Manual,Zero,Hyundai,Hyundai EON D
1100,2017,350000,10000,Petrol,Individual,Manual,Zero,Renault,Renault KWID 1.0
1101,2015,325000,25000,Petrol,Individual,Manual,Two,Hyundai,Hyundai Grand i10
1102,2018,450000,8500,Petrol,Individual,Manual,Zero,Tata,Tata Tigor 1.2
1103,2012,250000,120000,Diesel,Individual,Manual,Zero,Maruti,Maruti SX4 Celebration
1104,2012,225000,120000,Diesel,Individual,Manual,Zero,Volkswagen,Volkswagen Polo Diesel
1105,2009,150000,90246,Petrol,Individual,Manual,Two,Maruti,Maruti Alto LXi
1106,2008,110000,90000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LX
1107,2010,150000,40000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LXi
1108,2017,610000,32000,Diesel,Individual,Manual,One,Renault,Renault Duster 85PS
1109,2013,170000,60400,Diesel,Individual,Manual,Zero,Tata,Tata Manza Club
1110,2008,150000,70950,Diesel,Individual,Manual,One,Hyundai,Hyundai Verna CRDi
1111,2013,300000,90000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai i20 Asta
1112,2015,375000,72000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Xcent 1.1
1113,2013,390000,90000,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift VDI
1114,2017,600000,10000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i20 Active
1115,2014,204999,25000,Petrol,Individual,Manual,One,Maruti,Maruti Alto 800
1116,2009,270000,80000,Diesel,Individual,Manual,One,Hyundai,Hyundai Verna CRDi
1117,2017,375000,10000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
1118,2020,700000,1100,Petrol,Individual,Manual,Zero,Maruti,Maruti Baleno Zeta
1119,2017,455000,40000,Petrol,Individual,Manual,Zero,Maruti,Maruti Swift VXI
1120,2017,375000,10000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai i10 Sportz
1121,2014,341000,31491,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
1122,2014,200000,107143,Diesel,Individual,Manual,One,Maruti,Maruti Swift Dzire
1123,2017,450000,15000,Petrol,Individual,Automatic,Zero,Maruti,Maruti Ignis 1.2
1124,2012,170000,50000,Petrol,Individual,Manual,One,Hyundai,Hyundai Santro Xing
1125,2017,1900000,100000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova Crysta
1126,2016,500000,60000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
1127,2016,819999,85000,Diesel,Individual,Manual,Zero,Maruti,Maruti Vitara Brezza
1128,2014,351000,40000,Petrol,Individual,Manual,One,Maruti,Maruti Swift 1.2
1129,2011,195000,80000,Petrol,Individual,Manual,One,Hyundai,Hyundai i10 Magna
1130,2008,250000,82000,Diesel,Individual,Manual,One,Maruti,Maruti Swift Dzire
1131,2008,120000,70000,Petrol,Individual,Manual,One,Maruti,Maruti Zen Estilo
1132,2009,180000,70000,Petrol,Individual,Manual,Two,Maruti,Maruti A-Star Vxi
1133,2016,430000,20000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra KUV 100
1134,2012,75000,35000,Petrol,Individual,Manual,One,Tata,Tata Nano Cx
1135,2017,750000,80000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Xylo D4
1136,2011,60000,40000,Petrol,Individual,Manual,Zero,Tata,Tata Nano Lx
1137,2015,1500000,46412,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova 2.5
1138,2016,630000,50000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra TUV 300
1139,2018,1085000,15000,Diesel,Individual,Manual,Zero,Tata,Tata Safari Storme
1140,2012,190000,60000,Petrol,Individual,Manual,One,Hyundai,Hyundai i10 Magna
1141,2018,550000,25000,Petrol,Individual,Automatic,Zero,Maruti,Maruti Baleno Delta
1142,2012,200000,90000,Petrol,Individual,Manual,Two,Maruti,Maruti Alto 800
1143,2011,165000,60000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Spark 1.0
1144,2013,260000,65000,Diesel,Individual,Manual,Zero,Ford,Ford Figo Diesel
1145,2011,151000,40000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LX
1146,2018,780000,50000,Diesel,Individual,Manual,Zero,Maruti,Maruti Vitara Brezza
1147,2012,175000,80000,Diesel,Individual,Manual,Two,Tata,Tata Indica Vista
1148,2010,170000,107500,Diesel,Dealer,Manual,Zero,Tata,Tata Indica Vista
1149,2013,210000,135000,Diesel,Dealer,Manual,One,Tata,Tata Indica Vista
1150,2007,90000,43826,Petrol,Dealer,Manual,One,Maruti,Maruti Alto LXi
1151,2016,535000,55838,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai i20 Active
1152,2007,195000,112880,Diesel,Dealer,Manual,Zero,Maruti,Maruti Swift VDI
1153,2011,140000,90000,Diesel,Individual,Manual,Two,Tata,Tata Indica Vista
1154,2012,350000,40000,Petrol,Individual,Manual,Zero,Nissan,Nissan Sunny XL
1155,2013,425000,66000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Verna 1.6
1156,2017,300000,30300,Petrol,Individual,Manual,Zero,Renault,Renault KWID 1.0
1157,2013,340000,85000,Diesel,Individual,Manual,One,Volkswagen,Volkswagen Vento Diesel
1158,2009,250000,80659,Petrol,Dealer,Manual,Zero,Maruti,Maruti Swift Dzire
1159,2008,170000,81324,Petrol,Dealer,Manual,Zero,Chevrolet,Chevrolet Aveo 1.4
1160,2013,315000,127884,Diesel,Dealer,Manual,Zero,Honda,Honda Amaze S
1161,2015,200000,50000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Beat PS
1162,2016,300000,25000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Beat PS
1163,2015,300000,66755,Diesel,Dealer,Manual,Zero,Honda,Honda Amaze S
1164,2013,380000,123084,Petrol,Dealer,Manual,Zero,Honda,Honda City E
1165,2009,250000,806599,Petrol,Dealer,Manual,Zero,Maruti,Maruti Swift VXI
1166,2013,310000,95851,Diesel,Dealer,Manual,Zero,Honda,Honda Amaze S
1167,2010,260000,50000,Petrol,Individual,Manual,Zero,Maruti,Maruti Wagon R
1168,2008,150000,50000,Petrol,Individual,Manual,One,Maruti,Maruti Omni BSIII
1169,2006,85000,60000,Petrol,Individual,Manual,One,Maruti,Maruti Esteem Vxi
1170,2015,280000,15000,Petrol,Individual,Manual,One,Maruti,Maruti Alto 800
1171,2016,850000,40000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Xylo H4
1172,2017,375000,20000,Petrol,Individual,Manual,One,Datsun,Datsun GO Plus
1173,2006,125000,120000,Diesel,Individual,Manual,Two,Hyundai,Hyundai Elantra CRDi
1174,2012,250000,110000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Beat Diesel
1175,2014,715000,234000,Diesel,Individual,Manual,Zero,Toyota,Toyota Corolla Altis
1176,2011,220000,70000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai i20 1.4
1177,2010,110000,110000,Diesel,Individual,Manual,One,Tata,Tata Indica Vista
1178,2007,150000,84000,Petrol,Individual,Manual,One,Hyundai,Hyundai Verna XXi
1179,2012,300000,170000,Diesel,Individual,Manual,Zero,Nissan,Nissan Sunny Diesel
1180,2017,220000,40000,Petrol,Individual,Manual,Zero,Datsun,Datsun RediGO T
1181,2006,75000,96000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
1182,2009,100000,20000,Diesel,Individual,Manual,Zero,Tata,Tata Indigo LS
1183,2016,380000,15000,Petrol,Individual,Manual,Zero,Ford,Ford Figo Aspire
1184,2007,100000,50000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Santro Xing
1185,2010,480000,80000,Petrol,Individual,Manual,One,Volkswagen,Volkswagen Passat 1.8
1186,2012,300000,124000,Diesel,Individual,Manual,Zero,Toyota,Toyota Etios GD
1187,2013,190000,70000,Diesel,Individual,Manual,Zero,Chevrolet,Chevrolet Beat Diesel
1188,2012,190000,130000,Diesel,Individual,Manual,One,Ford,Ford Figo Diesel
1189,2017,650000,19014,Petrol,Dealer,Manual,Zero,Ford,Ford EcoSport 1.5
1190,2009,300000,23262,Petrol,Dealer,Manual,Zero,Toyota,Toyota Corolla Executive
1191,2016,700000,29600,Diesel,Dealer,Manual,Zero,Ford,Ford Freestyle Titanium
1192,2015,310000,35925,Petrol,Dealer,Manual,Zero,Hyundai,Hyundai i10 Sportz
1193,2018,500000,12000,Petrol,Individual,Manual,Zero,Maruti,Maruti Ignis 1.2
1194,2013,415000,40771,Petrol,Dealer,Manual,Zero,Toyota,Toyota Etios V
1195,2015,395000,30500,Petrol,Dealer,Automatic,One,Maruti,Maruti Celerio VXI
1196,2014,430000,42000,Petrol,Dealer,Manual,One,Toyota,Toyota Etios Liva
1197,2007,215000,55800,Petrol,Dealer,Manual,One,Toyota,Toyota Corolla H6
1198,2014,550000,66569,Diesel,Dealer,Manual,Zero,Renault,Renault Duster RXL
1199,2014,415000,81358,Diesel,Dealer,Manual,Zero,Volkswagen,Volkswagen Polo 1.5
1200,2015,450000,82695,Diesel,Dealer,Manual,Zero,Volkswagen,Volkswagen Polo 1.5
1201,2014,285000,68293,Diesel,Dealer,Manual,One,Ford,Ford Figo Diesel
1202,2016,580000,32000,Petrol,Dealer,Automatic,Zero,Honda,Honda Jazz VX
1203,2014,300000,190621,Diesel,Dealer,Manual,Zero,Maruti,Maruti Swift Dzire
1204,2018,1200000,60000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Verna CRDi
1205,2006,78000,64700,Petrol,Individual,Manual,Zero,Maruti,Maruti 800 Std
1206,2002,65000,100000,Petrol,Individual,Manual,One,Maruti,Maruti 800 AC
1207,2016,400000,88470,Diesel,Individual,Manual,Zero,Tata,Tata Zest Quadrajet
1208,2016,850000,75000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Verna 1.6
1209,2013,450000,120000,Diesel,Individual,Manual,One,Volkswagen,Volkswagen Vento Diesel
1210,2012,2500000,35000,Diesel,Individual,Automatic,Zero,Mercedes-Benz,Mercedes-Benz E-Class E250
1211,2017,780000,70000,Diesel,Individual,Manual,Zero,Toyota,Toyota Etios 1.4
1212,2017,3200000,57000,Diesel,Individual,Automatic,Zero,Toyota,Toyota Fortuner 2.8
1213,2020,350000,1000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto 800
1214,2013,285000,120000,Diesel,Individual,Manual,One,Mahindra,Mahindra Quanto C6
1215,2015,525000,98000,Diesel,Dealer,Manual,Zero,Volkswagen,Volkswagen Vento 1.5
1216,2014,550000,90000,Diesel,Dealer,Manual,One,Maruti,Maruti Ciaz ZDi
1217,2018,580000,70000,Diesel,Individual,Manual,Zero,Volkswagen,Volkswagen Ameo 1.5
1218,2013,75000,25000,Petrol,Individual,Manual,Two,Tata,Tata Nano CX
1219,2009,185000,60000,Diesel,Individual,Manual,Two,Tata,Tata Manza Aura
1220,2004,180000,200000,Petrol,Individual,Manual,One,Honda,Honda City 1.5
1221,2010,350000,110000,Diesel,Individual,Manual,One,Volkswagen,Volkswagen Polo Diesel
1222,2005,60000,126000,Petrol,Individual,Manual,One,Chevrolet,Chevrolet Optra 1.6
1223,2018,695000,70000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra TUV 300
1224,2019,2700000,5000,Diesel,Individual,Automatic,Zero,Mahindra,Mahindra Alturas G4
1225,2007,135000,74183,Petrol,Individual,Manual,One,Maruti,Maruti Zen Estilo
1226,2015,640000,70000,Diesel,Individual,Manual,One,Mahindra,Mahindra Bolero Power
1227,2014,160000,90000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto 800
1228,2004,80000,46000,Petrol,Individual,Manual,One,Tata,Tata Indica LXI
1229,2013,340000,110000,Diesel,Individual,Manual,One,Maruti,Maruti Swift Dzire
1230,2012,110000,80000,Diesel,Individual,Manual,One,Maruti,Maruti Ritz VDi
1231,2013,250000,90000,Diesel,Individual,Manual,One,Tata,Tata Sumo Gold
1232,2017,1300000,70000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova Crysta
1233,2014,250000,1,Diesel,Individual,Manual,One,Mahindra,Mahindra Quanto C6
1234,2009,450000,192000,Diesel,Individual,Manual,Zero,Toyota,Toyota Innova 2.5
1235,2007,225000,120000,Diesel,Individual,Manual,One,Mahindra,Mahindra Bolero DI
1236,2015,275000,60000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
1237,2012,320000,120000,Diesel,Individual,Manual,One,Tata,Tata Sumo Victa
1238,2008,75000,120000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LX
1239,2007,85000,50000,Petrol,Individual,Manual,One,Tata,Tata Indica GLS
1240,2009,90000,120000,Diesel,Individual,Manual,Zero,Tata,Tata Indica Vista
1241,2007,85000,80000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
1242,2008,350000,80000,Diesel,Individual,Manual,One,Mahindra,Mahindra Scorpio M2DI
1243,2009,355000,100000,Diesel,Individual,Automatic,One,Skoda,Skoda Superb Elegance
1244,2020,619000,1500,Petrol,Individual,Manual,Zero,Maruti,Maruti Swift VXI
1245,2018,1700000,50000,Diesel,Individual,Manual,Zero,Jeep,Jeep Compass 2.0
1246,2006,55000,100000,Diesel,Individual,Manual,One,Tata,Tata Indica DL
1247,2006,95000,83411,Petrol,Individual,Manual,Zero,Ford,Ford Fiesta 1.6
1248,2011,300000,120000,Diesel,Individual,Manual,One,Volkswagen,Volkswagen Vento Diesel
1249,2006,81000,83411,Petrol,Individual,Manual,Zero,Ford,Ford Fiesta 1.6
1250,2015,1000000,80000,Diesel,Individual,Automatic,One,Skoda,Skoda Superb Elegance
1251,2019,925000,50000,Diesel,Individual,Manual,Zero,Maruti,Maruti Ertiga VDI
1252,2015,450000,40000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
1253,2014,600000,13270,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Scorpio EX
1254,2006,85000,100000,Petrol,Individual,Automatic,Two,Hyundai,Hyundai Santro Xing
1255,2016,700000,50000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Thar DI
1256,2017,486000,26500,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Grand i10
1257,2013,400000,90000,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift VDI
1258,2008,120000,100000,Petrol,Individual,Manual,Two,Ford,Ford Fiesta 1.4
1259,2018,275000,35000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto 800
1260,2016,580000,57000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai i20 Asta
1261,2015,375000,70000,Petrol,Individual,Manual,Zero,Maruti,Maruti Swift Dzire
1262,2015,229999,100000,Petrol,Individual,Manual,Two,Maruti,Maruti Wagon R
1263,2010,110000,88000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LX
1264,2017,600000,60000,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift Dzire
1265,2009,120000,76000,Petrol,Individual,Manual,One,Maruti,Maruti A-Star Vxi
1266,2010,200000,100000,Diesel,Individual,Manual,One,Ford,Ford Figo Diesel
1267,2012,450000,110000,Diesel,Individual,Manual,One,Hyundai,Hyundai Verna 1.6
1268,2012,550000,80000,Diesel,Individual,Manual,One,Hyundai,Hyundai Verna 1.6
1269,2012,220000,80000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LX
1270,2001,40000,30000,Petrol,Individual,Manual,Zero,Maruti,Maruti 800 EX
1271,2017,300000,20000,Petrol,Individual,Automatic,Zero,Renault,Renault KWID Climber
1272,2018,630000,40000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Bolero Power
1273,2017,610000,40000,Diesel,Individual,Manual,One,Maruti,Maruti Swift Dzire
1274,2019,660000,7000,Petrol,Individual,Manual,One,Hyundai,Hyundai Xcent 1.2
1275,2011,138000,90000,Diesel,Individual,Manual,One,Nissan,Nissan Micra Diesel
1276,2013,210000,13770,Diesel,Individual,Manual,Zero,Nissan,Nissan Micra Diesel
1277,2005,125000,34000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Zen LXi
1278,2008,125000,102000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Alto LXi
1279,2014,725000,110000,Diesel,Individual,Manual,Zero,Honda,Honda City i
1280,2011,170000,90000,Petrol,Individual,Manual,One,Maruti,Maruti Alto K10
1281,2015,1200000,70000,Diesel,Individual,Manual,Two,Toyota,Toyota Innova 2.5
1282,2003,70000,90000,Petrol,Individual,Manual,One,Maruti,Maruti Wagon R
1283,2007,100000,70000,Petrol,Individual,Manual,One,Maruti,Maruti Alto LXi
1284,2006,300000,80000,Petrol,Individual,Manual,One,Honda,Honda Civic 1.8
1285,2013,450000,100000,Diesel,Individual,Manual,One,Maruti,Maruti Swift VDI
1286,2015,530000,100000,Diesel,Individual,Manual,Zero,Maruti,Maruti Swift Dzire
1287,2007,100000,143000,Petrol,Individual,Manual,Two,Maruti,Maruti Zen Estilo
1288,2010,350000,115000,Petrol,Individual,Manual,One,Honda,Honda City 1.5
1289,2011,165000,100000,Diesel,Individual,Manual,One,Tata,Tata Manza ELAN
1290,2019,475000,120000,Diesel,Individual,Manual,One,Maruti,Maruti Swift Dzire
1291,2013,350000,42000,Diesel,Individual,Manual,Zero,Mahindra,Mahindra Xylo E4
1292,2016,229999,38000,Petrol,Individual,Manual,Zero,Renault,Renault KWID RXL
1293,2018,800000,35000,Diesel,Individual,Manual,Zero,Honda,Honda WR-V i-DTEC
1294,2014,475000,120000,Diesel,Individual,Manual,One,Maruti,Maruti Swift Dzire
1295,2014,425000,136906,Diesel,Individual,Manual,Zero,Nissan,Nissan Terrano XL
1296,2015,660000,97000,Diesel,Individual,Manual,One,Maruti,Maruti Ciaz VDi
1297,2019,610000,10000,Petrol,Individual,Automatic,Zero,Honda,Honda Amaze S
1298,2013,240000,50000,Petrol,Individual,Manual,Two,Honda,Honda Brio S
1299,2005,70000,60000,Petrol,Individual,Manual,One,Maruti,Maruti Esteem Lxi
1300,2011,550000,120000,Diesel,Individual,Manual,Zero,Toyota,Toyota Corolla Altis
1301,2010,100000,120000,Petrol,Individual,Manual,One,Tata,Tata Indica Vista
